Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
421L,03-059.972109,1166,11672,1.31,0.21,FHIT-7
421L,03-060.782680,886,9771,0.97,0.18,FHIT-4
421L,05-112.182873,857,8581,1.09,0.13,APC-12
421L,05-112.206814,602,8725,1.32,1,APC-18
421L,09-021.958641,1505,15861,0.97,0.14,CDKN2A-4
421L,09-021.961213,1498,11877,1.09,0.13,CDKN2A-3
421L,09-021.998809,761,10602,0.99,1,CDKN2B-1
421L,09-097.258441,1594,14387,1.04,0.13,PTCH1-20
421L,09-097.284232,1126,11400,1.3,0.17,PTCH1-5
421L,09-134.767854,1530,15571,1.03,1,TSC1-18
421L,09-134.809748,1300,12337,0.9,0.14,TSC1-1
421L,10-089.680713,1228,14180,1.4,0.22,PTEN-4
421L,10-089.682864,1296,16269,1.31,0.19,PTEN-5
421L,10-089.710865,1109,15086,1.52,0.26,PTEN-8
421L,11-032.366613,732,11294,1.1,0.19,WT1-11
421L,11-032.413841,859,8747,0.78,0.13,WT1-1
421L,13-031.791351,1230,10721,0.91,0.13,BRCA2-3
421L,13-031.803112,1636,15842,1.05,0.15,BRCA2-9
421L,13-047.814761,621,9660,0.81,0.09,RB1-3
421L,13-047.948892,969,12314,0.85,0.1,RB1-25
421L,13-049.521254,2404,20324,1.01,0.12,MIR15A-1
421L,13-049.576833,1738,14915,1.14,0.18,DLEU1-2
421L,16-002.038612,1484,11827,1.26,0.16,TSC2-1
421L,16-002.067648,749,9168,1.27,0.2,TSC2-25
421L,16-002.076651,947,8418,0.75,0.14,TSC2-38
421L,17-007.514677,426,6427,0.73,1,TP53-10
421L,17-007.519217,1138,10826,0.76,0.09,TP53-4b
421L,17-007.531504,1283,13140,0.92,0.15,TP53-1
421L,17-026.577746,692,9910,1.14,0.14,NF1-18
421L,17-026.681489,2046,17061,1.23,0.15,NF1-39
421L,17-038.450829,1121,14485,1.17,0.14,BRCA1-24
421L,17-038.479889,1331,14131,0.85,0.12,BRCA1-15
421L,17-038.510430,1404,11642,1.21,0.17,BRCA1-6
421L,18-046.829678,1418,16307,1.31,0.2,SMAD4-4
421L,18-046.858705,937,13958,1.2,1,SMAD4-12
421L,19-001.157954,1314,11174,1.07,0.16,STK11-1
421L,19-001.170331,1116,10437,1.25,0.17,STK11-3
421L,19-018.503959,1086,10945,1.1,0.16,FKBP8-9
421L,19-018.511130,1284,11228,1.14,0.16,FKBP8-4
421L,22-022.459352,1138,11735,1.1,0.2,SMARCB1-1
421L,22-022.506421,1252,10965,1.13,0.14,SMARCB1-9
421L,X-063.326842,0,0,0,0,AMER1-2
421L,X-063.342134,822,7075,0.93,0.19,AMER1-1
421L,02-061.126370,853,13880,1.11,0.16,References PEX13
421L,02-189.557818,1673,14492,0.99,0.12,References COL3A1
421L,04-001.902193,698,10495,0.99,1,References WHSC1
421L,04-187.390323,1911,16047,1.16,0.15,References KLKB1
421L,05-132.037607,1864,13089,0.98,0.14,References IL4
421L,06-065.588251,1284,13870,1.17,0.19,References EYS
421L,06-108.321498,772,11502,1.01,0.12,References SEC63
421L,11-095.238425,1042,10533,1.1,0.17,References MTMR2
421L,14-022.972596,1173,9181,0.74,0.09,References MYH7
421L,15-042.653071,638,8587,0.89,0.13,References SPG11
421L,16-080.537323,688,8229,0.73,0.09,References PLCG2
421L,21-037.919589,1207,10569,0.9,0.2,References KCNJ6
421M,01-001.274237,625,9307,0.75,0.17,DVL1-1
421M,01-003.150503,256,6665,0.52,0.11,PRDM16-3
421M,01-006.150830,205,7132,0.61,0.14,CHD5-2
421M,01-007.727575,578,13328,0.75,0.13,CAMTA1-18
421M,01-010.214967,1054,17943,1.05,0.21,KIF1B-2
421M,03-010.158544,559,12576,0.65,0.16,VHL-1
421M,03-010.163233,745,17971,1.06,0.18,VHL-2
421M,03-059.972109,965,23079,1.71,0.38,FHIT-7
421M,03-060.782680,672,16039,1.02,0.25,FHIT-4
421M,05-112.182873,603,13921,1.17,0.21,APC-12
421M,05-112.206814,412,11642,1.05,1,APC-18
421M,09-021.958641,486,14454,0.62,0.11,CDKN2A-4
421M,09-021.961213,684,10463,0.7,0.12,CDKN2A-3
421M,09-021.998809,317,9337,0.53,1,CDKN2B-1
421M,09-097.258441,534,13072,0.66,0.12,PTCH1-20
421M,09-097.284232,757,17195,1.28,0.25,PTCH1-5
421M,09-134.767854,1150,23520,1.01,1,TSC1-18
421M,09-134.809748,716,15810,0.78,0.15,TSC1-1
421M,10-089.680713,865,22868,1.43,0.31,PTEN-4
421M,10-089.682864,904,23977,1.2,0.25,PTEN-5
421M,10-089.710865,670,19673,1.2,0.27,PTEN-8
421M,11-032.366613,541,16023,0.89,0.17,WT1-11
421M,11-032.413841,308,6771,0.41,0.08,WT1-1
421M,13-031.791351,1434,22291,1.35,0.28,BRCA2-3
421M,13-031.803112,1126,23930,1.09,0.22,BRCA2-9
421M,13-047.814761,795,24772,1.19,0.2,RB1-3
421M,13-047.948892,1099,29214,1.22,0.21,RB1-25
421M,13-049.521254,2075,35735,1.29,0.23,MIR15A-1
421M,13-049.576833,1972,25316,1.42,0.3,DLEU1-2
421M,16-002.038612,1044,13430,1.05,0.18,TSC2-1
421M,16-002.067648,276,7333,0.64,0.13,TSC2-25
421M,16-002.076651,224,949,0.06,0.01,TSC2-38
421M,17-007.514677,293,9508,0.64,1,TP53-10
421M,17-007.519217,580,16616,0.78,0.13,TP53-4b
421M,17-007.531504,1158,26029,1.18,0.26,TP53-1
421M,17-026.577746,482,15434,1.06,0.19,NF1-18
421M,17-026.681489,1471,30542,1.5,0.28,NF1-39
421M,17-038.450829,779,20483,1.01,0.17,BRCA1-24
421M,17-038.479889,993,26958,1.04,0.21,BRCA1-15
421M,17-038.510430,790,16997,1.24,0.25,BRCA1-6
421M,18-046.829678,1045,24924,1.27,0.27,SMAD4-4
421M,18-046.858705,646,19451,1,1,SMAD4-12
421M,19-001.157954,666,13869,0.94,0.18,STK11-1
421M,19-001.170331,401,7864,0.65,0.12,STK11-3
421M,19-018.503959,487,11504,0.78,0.15,FKBP8-9
421M,19-018.511130,561,10734,0.75,0.13,FKBP8-4
421M,22-022.459352,661,13809,0.84,0.19,SMARCB1-1
421M,22-022.506421,505,10475,0.77,0.14,SMARCB1-9
421M,X-063.326842,0,0,0,0,AMER1-2
421M,X-063.342134,415,6430,0.63,0.13,AMER1-1
421M,02-061.126370,485,25639,1.16,0.2,References PEX13
421M,02-189.557818,1158,23248,1.1,0.19,References COL3A1
421M,04-001.902193,373,13553,0.76,1,References WHSC1
421M,04-187.390323,1163,21925,1.12,0.21,References KLKB1
421M,05-132.037607,1560,18009,1,0.18,References IL4
421M,06-065.588251,806,20376,1.1,0.24,References EYS
421M,06-108.321498,757,21572,1.12,0.2,References SEC63
421M,11-095.238425,720,15420,1.07,0.21,References MTMR2
421M,14-022.972596,595,10447,0.6,0.1,References MYH7
421M,15-042.653071,446,12570,0.78,0.14,References SPG11
421M,16-080.537323,559,13757,0.76,0.13,References PLCG2
421M,21-037.919589,859,10718,0.69,0.19,References KCNJ6
