Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
167J,03-059.972109,2509,25233,1.21,0.3,FHIT-7
167J,03-060.782680,2297,26004,1.08,0.28,FHIT-4
167J,05-112.182873,1925,19212,1.05,0.24,APC-12
167J,05-112.206814,1228,20501,1.22,1,APC-18
167J,09-021.958641,1765,18435,0.51,0.13,CDKN2A-4
167J,09-021.961213,1607,11606,0.5,0.12,CDKN2A-3
167J,09-021.998809,753,11925,0.45,1,CDKN2B-1
167J,09-097.258441,2146,17839,0.59,0.14,PTCH1-20
167J,09-097.284232,2568,26560,1.29,0.32,PTCH1-5
167J,09-134.767854,3127,33666,0.94,1,TSC1-18
167J,09-134.809748,2632,25278,0.81,0.22,TSC1-1
167J,10-089.680713,2182,28172,1.15,0.29,PTEN-4
167J,10-089.682864,2363,31458,1.03,0.25,PTEN-5
167J,10-089.710865,1702,25320,1.01,0.25,PTEN-8
167J,11-032.366613,1531,29398,1.08,0.29,WT1-11
167J,11-032.413841,1483,13688,0.54,0.15,WT1-1
167J,13-031.791351,3588,27405,1.07,0.26,BRCA2-3
167J,13-031.803112,3639,31566,0.93,0.22,BRCA2-9
167J,13-047.814761,980,19153,0.61,0.15,RB1-3
167J,13-047.948892,1516,21506,0.59,0.14,RB1-25
167J,13-049.521254,4018,30006,0.69,0.16,MIR15A-1
167J,13-049.576833,2582,19253,0.69,0.17,DLEU1-2
167J,16-002.038612,2358,16793,0.85,0.21,TSC2-1
167J,16-002.067648,791,10383,0.59,0.16,TSC2-25
167J,16-002.076651,1208,10688,0.44,0.13,TSC2-38
167J,17-007.514677,379,6984,0.31,1,TP53-10
167J,17-007.519217,973,10177,0.31,0.07,TP53-4b
167J,17-007.531504,1277,13909,0.41,0.12,TP53-1
167J,17-026.577746,1265,20361,0.92,0.22,NF1-18
167J,17-026.681489,4155,35687,1.14,0.27,NF1-39
167J,17-038.450829,2124,30585,0.99,0.24,BRCA1-24
167J,17-038.479889,3226,36774,0.93,0.24,BRCA1-15
167J,17-038.510430,3130,25829,1.21,0.3,BRCA1-6
167J,18-046.829678,2993,35837,1.19,0.31,SMAD4-4
167J,18-046.858705,1626,27306,0.93,1,SMAD4-12
167J,19-001.157954,1736,13776,0.61,0.16,STK11-1
167J,19-001.170331,1189,10389,0.56,0.14,STK11-3
167J,19-018.503959,1330,13010,0.57,0.15,FKBP8-9
167J,19-018.511130,1637,13556,0.62,0.16,FKBP8-4
167J,22-022.459352,1286,14223,0.57,0.17,SMARCB1-1
167J,22-022.506421,1531,11981,0.57,0.14,SMARCB1-9
167J,X-063.326842,326,5681,0.77,1,AMER1-2
167J,X-063.342134,1544,10577,0.66,0.2,AMER1-1
167J,02-061.126370,1866,38717,1.16,0.29,References PEX13
167J,02-189.557818,4882,40369,1.24,0.29,References COL3A1
167J,04-001.902193,1170,20748,0.77,1,References WHSC1
167J,04-187.390323,4941,38222,1.26,0.3,References KLKB1
167J,05-132.037607,4727,33336,1.18,0.29,References IL4
167J,06-065.588251,2885,33847,1.19,0.31,References EYS
167J,06-108.321498,1513,25928,0.89,0.21,References SEC63
167J,11-095.238425,3038,28411,1.29,0.36,References MTMR2
167J,14-022.972596,2011,15193,0.57,0.14,References MYH7
167J,15-042.653071,973,15122,0.62,0.16,References SPG11
167J,16-080.537323,1111,14799,0.54,0.13,References PLCG2
