Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167C,[13q (n=6)].[BRCA2-9],13-031.803112,1755,18944,0.97,1.06,0.97,0.16,Equal,Equal,0.06,61
167C,[13q (n=6)].[RB1-3],13-047.814761,959,13202,0.76,0.85,0.75,0.12,Equal,Equal,-0.12,51
167C,[13q (n=6)].[RB1-25],13-047.948892,1350,14962,0.73,0.81,0.73,0.11,Equal,Equal,0.05,53
167C,[13q (n=6)].[MIR15A-1],13-049.521254,1990,17052,0.68,0.74,0.68,0.11,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.11,52
167C,[13q (n=6)].[DLEU1-2],13-049.576833,1479,12538,0.77,0.83,0.78,0.13,Equal,Equal,0.13,56
167C,[16p (n=3)].[TSC2-1],16-002.038612,1219,10133,0.89,0.96,0.89,0.15,Equal,Equal,0.11,57
167C,[16p (n=3)].[TSC2-25],16-002.067648,631,8305,0.83,0.92,0.84,0.17,Equal,Equal,-0.11,56
167C,[16p (n=3)].[TSC2-38],16-002.076651,915,9944,0.71,0.77,0.71,0.16,Equal,Equal,-0.17,44
167C,[17p (n=3)].[TP53-10],17-007.514677,472,6786,0.52,0.58,0.51,1,Ambiguous,Ambiguous,-0.34,56
167C,[17p (n=3)].[TP53-4b],17-007.519217,667,8928,0.48,0.52,0.48,0.08,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.11,49
167C,[17p (n=3)].[TP53-1],17-007.531504,1148,13715,0.71,0.78,0.71,0.15,Equal,Equal,0.03,62
167C,[17q (n=5)].[NF1-18],17-026.577746,904,12109,0.97,1.09,0.97,0.15,Equal,Equal,-0.19,55
167C,[17q (n=5)].[NF1-39],17-026.681489,1713,18325,1.01,1.1,1.02,0.16,Equal,Equal,0.04,59
167C,[17q (n=5)].[BRCA1-24],17-038.450829,1189,16716,0.96,1.06,0.96,0.15,Equal,Equal,-0.17,58
